,epoch,PESQ,ESTOI,SI-SDR,SI-SIR,SI-SAR
0,0,2.89,0.88,19.84,34.23,20.22
1,0,2.92,0.87,19.90,34.56,20.25
2,0,3.00,0.88,19.81,33.78,20.19
3,0,3.06,0.88,19.65,33.63,20.03
4,0,3.11,0.88,19.49,33.43,19.87
5,1,2.89,0.88,19.87,33.97,20.27
6,1,2.97,0.88,19.71,34.19,20.03
7,1,2.99,0.88,19.76,34.37,20.09
8,1,3.06,0.88,19.71,34.32,20.03
9,1,3.09,0.88,19.59,33.96,19.92
10,2,2.90,0.88,19.85,33.70,20.27
11,2,3.01,0.88,19.41,33.70,19.73
12,2,3.00,0.88,19.58,34.69,19.87
13,2,3.05,0.88,19.53,34.42,19.82
14,2,3.09,0.88,19.45,34.17,19.73
15,3,2.90,0.88,19.82,33.51,20.25
16,3,3.05,0.88,19.13,33.14,19.45
17,3,3.01,0.88,19.31,34.80,19.58
18,3,3.06,0.88,19.30,34.38,19.58
19,3,3.08,0.88,19.22,34.05,19.49
20,4,2.89,0.88,19.80,33.36,20.24
21,4,3.06,0.88,18.90,32.74,19.22
22,4,3.00,0.88,19.03,34.87,19.27
23,4,3.05,0.88,19.08,34.28,19.33
24,4,3.08,0.88,19.00,33.90,19.26
25,5,2.89,0.88,19.79,33.26,20.23
26,5,3.07,0.88,18.69,32.32,19.01
27,5,2.96,0.88,18.73,34.66,18.96
28,5,3.03,0.88,18.86,33.96,19.10
29,5,3.07,0.88,18.79,33.58,19.05
